Date,Open,High,Low,Close,Date
31-Mar-2017,9158.9,9191.7,9152.1,9173.75,3/31/17
30-Mar-2017,9142.6,9183.15,9136.35,9173.75,3/30/17
29-Mar-2017,9128.7,9153.15,9109.1,9143.8,3/29/17
28-Mar-2017,9081.5,9110.4,9079.8,9100.8,3/28/17
27-Mar-2017,9093.45,9094.85,9024.65,9045.2,3/27/17
24-Mar-2017,9104,9133.55,9089.4,9108,3/24/17
23-Mar-2017,9048.75,9099.05,9048.6,9086.3,3/23/17
22-Mar-2017,9047.2,9072.9,9019.3,9030.45,3/22/17
21-Mar-2017,9133.95,9147.75,9087.2,9121.5,3/21/17
20-Mar-2017,9166.95,9167.6,9116.3,9126.85,3/20/17
17-Mar-2017,9207.8,9218.4,9147.6,9160.05,3/17/17
16-Mar-2017,9129.65,9158.45,9128.55,9153.7,3/16/17
15-Mar-2017,9086.85,9106.55,9075.5,9084.8,3/15/17
14-Mar-2017,9091.65,9122.75,9060.5,9087,3/14/17
10-Mar-2017,8953.7,8975.7,8903.95,8934.55,3/10/17
09-Mar-2017,8914.5,8945.8,8899.5,8927,3/9/17
08-Mar-2017,8950.7,8957.05,8891.95,8924.3,3/8/17
07-Mar-2017,8977.75,8977.85,8932.8,8946.9,3/7/17
06-Mar-2017,8915.1,8967.8,8914,8963.45,3/6/17
03-Mar-2017,8883.5,8907.1,8860.1,8897.55,3/3/17
02-Mar-2017,8982.85,8992.5,8879.8,8899.75,3/2/17
01-Mar-2017,8904.4,8960.8,8898.6,8945.8,3/1/17
28-Feb-2017,8898.95,8914.75,8867.6,8879.6,2/28/17
27-Feb-2017,8943.7,8951.8,8888.65,8896.7,2/27/17
23-Feb-2017,8956.4,8982.15,8927.55,8939.5,2/23/17
22-Feb-2017,8931.6,8960.75,8905.25,8926.9,2/22/17
21-Feb-2017,8890.75,8920.8,8860.95,8907.85,2/21/17
20-Feb-2017,8818.55,8886.25,8809.8,8879.2,2/20/17
17-Feb-2017,8883.7,8896.45,8804.25,8821.7,2/17/17
16-Feb-2017,8739,8783.95,8719.6,8778,2/16/17
15-Feb-2017,8778.95,8807.9,8712.85,8724.7,2/15/17
14-Feb-2017,8819.9,8820.45,8772.5,8792.3,2/14/17
13-Feb-2017,8819.8,8826.9,8754.2,8805.05,2/13/17
10-Feb-2017,8812.35,8822.1,8771.2,8793.55,2/10/17
09-Feb-2017,8795.55,8821.4,8724.1,8778.4,2/9/17
08-Feb-2017,8774.55,8791.25,8715,8769.05,2/8/17
07-Feb-2017,8805.7,8809.3,8741.05,8768.3,2/7/17
06-Feb-2017,8785.45,8814.1,8770.2,8801.05,2/6/17
03-Feb-2017,8735.15,8748.25,8707.75,8740.95,2/3/17
02-Feb-2017,8724.75,8757.6,8685.8,8734.25,2/2/17
01-Feb-2017,8570.35,8722.4,8537.5,8716.4,2/1/17
31-Jan-2017,8629.45,8631.75,8552.4,8561.3,1/31/17
30-Jan-2017,8635.55,8662.6,8617.75,8632.75,1/30/17
27-Jan-2017,8610.5,8672.7,8606.9,8641.25,1/27/17
25-Jan-2017,8499.45,8612.6,8493.95,8602.75,1/25/17
24-Jan-2017,8407.05,8480.95,8398.15,8475.8,1/24/17
23-Jan-2017,8329.6,8404.15,8327.2,8391.5,1/23/17
20-Jan-2017,8404.35,8423.65,8340.95,8349.35,1/20/17
19-Jan-2017,8418.4,8445.15,8404.05,8435.1,1/19/17
18-Jan-2017,8403.85,8460.3,8397.4,8417,1/18/17
17-Jan-2017,8415.05,8440.9,8378.3,8398,1/17/17
16-Jan-2017,8390.95,8426.7,8374.4,8412.8,1/16/17
13-Jan-2017,8457.65,8461.05,8373.15,8400.35,1/13/17
12-Jan-2017,8391.05,8417.2,8382.3,8407.2,1/12/17
